Rank 1: 	['Ice', 'Fighting', 'Ground']       83.33%	Highest for 3 types.
Rank 2: 	['Fire', 'Ground', 'Fairy']         80.56%	
Rank 3: 	['Ice', 'Ground', 'Steel']          80.56%	
Rank 4: 	['Fighting', 'Ground', 'Flying']    80.56%	
Rank 5: 	['Ice', 'Ground', 'Ghost']          80.56%	
Rank 6: 	['Ice', 'Ground', 'Fairy']          80.56%	
Rank 7: 	['Fire', 'Ice', 'Ground']           80.56%	
Rank 8: 	['Ice', 'Ground', 'Flying']         80.56%	
Rank 9: 	['Ice', 'Fighting', 'Ghost']        80.56%	
Rank 10: 	['Ground', 'Bug', 'Rock']           80.56%	
Rank 11: 	['Ground', 'Rock', 'Fairy']         80.56%	
Rank 12: 	['Ice', 'Fighting', 'Dark']         80.56%	
Rank 13: 	['Ice', 'Ground', 'Bug']            80.56%	
Rank 14: 	['Ice', 'Fighting', 'Flying']       80.56%	
Rank 15: 	['Ice', 'Fighting', 'Psychic']      80.56%	
Rank 16: 	['Ice', 'Ground', 'Dark']           80.56%	
Rank 17: 	['Ice', 'Ground', 'Rock']           80.56%	
Rank 18: 	['Ice', 'Fighting', 'Rock']         80.56%	
Rank 19: 	['Ground', 'Flying', 'Steel']       77.78%	
Rank 20: 	['Ground', 'Steel', 'Fairy']        77.78%	
Rank 21: 	['Ground', 'Bug', 'Steel']          77.78%	
Rank 22: 	['Electric', 'Ground', 'Flying']    77.78%	
Rank 23: 	['Ground', 'Flying', 'Fairy']       77.78%	
Rank 24: 	['Fire', 'Ground', 'Ghost']         77.78%	
Rank 25: 	['Ground', 'Flying', 'Ghost']       77.78%	
Rank 26: 	['Fire', 'Water', 'Fairy']          77.78%	
Rank 27: 	['Ground', 'Flying', 'Dark']        77.78%	
Rank 28: 	['Ground', 'Ghost', 'Fairy']        77.78%	
Rank 29: 	['Fire', 'Electric', 'Ground']      77.78%	
Rank 30: 	['Fire', 'Ground', 'Dark']          77.78%	
Rank 31: 	['Electric', 'Fighting', 'Flying']  77.78%	
Rank 32: 	['Electric', 'Ground', 'Fairy']     77.78%	
Rank 33: 	['Ice', 'Fighting', 'Steel']        77.78%	
Rank 34: 	['Poison', 'Ground', 'Fairy']       77.78%	
Rank 35: 	['Fire', 'Ground', 'Bug']           77.78%	
Rank 36: 	['Ground', 'Dark', 'Fairy']         77.78%	
Rank 37: 	['Fire', 'Grass', 'Ground']         77.78%	
Rank 38: 	['Electric', 'Ground', 'Bug']       77.78%	
Rank 39: 	['Grass', 'Ground', 'Flying']       77.78%	
Rank 40: 	['Fighting', 'Flying', 'Dark']      77.78%	
Rank 41: 	['Fire', 'Fighting', 'Ground']      77.78%	
Rank 42: 	['Water', 'Fighting', 'Flying']     77.78%	
Rank 43: 	['Ground', 'Flying', 'Rock']        77.78%	
Rank 44: 	['Ground', 'Bug', 'Fairy']          77.78%	
Rank 45: 	['Fighting', 'Flying', 'Ghost']     77.78%	
Rank 46: 	['Fighting', 'Poison', 'Ground']    77.78%	
Rank 47: 	['Fighting', 'Ground', 'Ghost']     77.78%	
Rank 48: 	['Ground', 'Flying', 'Bug']         77.78%	
Rank 49: 	['Grass', 'Ground', 'Fairy']        77.78%	
Rank 50: 	['Ice', 'Poison', 'Ground']         77.78%	
Rank 51: 	['Fighting', 'Poison', 'Rock']      77.78%	
Rank 52: 	['Fighting', 'Ground', 'Dark']      77.78%	
Rank 53: 	['Fighting', 'Ground', 'Fairy']     77.78%	
Rank 54: 	['Electric', 'Fighting', 'Ground']  77.78%	
Rank 55: 	['Fighting', 'Flying', 'Rock']      77.78%	
Rank 56: 	['Fighting', 'Rock', 'Ghost']       77.78%	
Rank 57: 	['Electric', 'Ice', 'Ground']       77.78%	
Rank 58: 	['Fighting', 'Rock', 'Fairy']       77.78%	
Rank 59: 	['Ground', 'Rock', 'Ghost']         77.78%	
Rank 60: 	['Electric', 'Ice', 'Fighting']     77.78%	
Rank 61: 	['Ice', 'Fighting', 'Poison']       77.78%	
Rank 62: 	['Fighting', 'Bug', 'Rock']         77.78%	
Rank 63: 	['Poison', 'Ground', 'Rock']        77.78%	
Rank 64: 	['Fire', 'Ice', 'Fighting']         77.78%	
Rank 65: 	['Ice', 'Fighting', 'Fairy']        77.78%	
Rank 66: 	['Fighting', 'Rock', 'Dark']        77.78%	
Rank 67: 	['Water', 'Ice', 'Fighting']        77.78%	
Rank 68: 	['Grass', 'Fighting', 'Flying']     77.78%	
Rank 69: 	['Grass', 'Fighting', 'Rock']       77.78%	
Rank 70: 	['Grass', 'Ground', 'Rock']         77.78%	
Rank 71: 	['Fighting', 'Psychic', 'Rock']     77.78%	
Rank 72: 	['Grass', 'Ice', 'Ground']          77.78%	
Rank 73: 	['Ice', 'Ground', 'Psychic']        77.78%	
Rank 74: 	['Ground', 'Rock', 'Dark']          77.78%	
Rank 75: 	['Ice', 'Fighting', 'Bug']          77.78%	
Rank 76: 	['Fighting', 'Ground', 'Rock']      77.78%	
